word,similarity_negative,similarity_positive
placere,0.382139027,0.536729634
fericit,0.447583586,0.485259682
bland,0.355195224,0.389191419
urat,0.569786668,0.385728717
prieten,0.232473671,0.338420093
muzicuta,0.105057612,0.312243044
veselie,0.198040128,0.298869312
gandac,0.387850374,0.292734414
trandafir,0.194659516,0.290241361
rasarit,0.148312405,0.281153411
vioara,0.12080618,0.277447045
norocos,0.246926829,0.276562899
zambila,0.209425151,0.270542473
ras ,0.258089244,0.266854763
furnica,0.287213534,0.266547948
cadou,0.120874815,0.255776882
clarinet,0.177115262,0.24774611
orhidee,0.130154163,0.243849546
liliac,0.206213102,0.239172637
magnolie,0.14336133,0.238469422
vacanta,0.130720839,0.237866312
curcubeu,0.157303259,0.237635136
murdarie,0.481171966,0.23390922
chitara,0.065009341,0.233402446
tantar mic,0.342394829,0.231094733
