word,similarity_negative,similarity_positive
urat,0.569786668,0.385728717
murdarie,0.481171966,0.23390922
fericit,0.447583586,0.485259682
voma,0.403951645,0.108620904
gandac,0.387850374,0.292734414
placere,0.382139027,0.536729634
bland,0.355195224,0.389191419
duhoare,0.354671419,0.161334649
tantar mic,0.342394829,0.231094733
dezastru,0.332211375,0.095409624
boala,0.2980344,0.038252402
tantar ,0.297257483,0.106812902
molie,0.291287988,0.160224676
violenta,0.290460169,0.219314396
furnica,0.287213534,0.266547948
galbenele,0.286175907,0.218819603
otrava,0.280473739,0.106547847
miracol,0.277084321,0.169099137
gandac de bucatarie,0.272214711,0.224213675
moarte,0.270809293,0.106813103
musculita,0.270133764,0.182903856
ras,0.258089244,0.266854763
norocos,0.246926829,0.276562899
prieten,0.232473671,0.338420093
accident,0.231078818,0.035986036
